COMMON,BOTANICAL,PRICE,LIGHT,AVAILABILITY,ZONE
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Bloodroot,Sanguinaria canadensis,$2.44,Mostly Shady,031599,4
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Columbine,Aquilegia canadensis,$9.37,Mostly Shady,030699,3
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Marsh Marigold,Caltha palustris,$6.81,Mostly Sunny,051799,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Cowslip,Caltha palustris,$9.90,Mostly Shady,030699,4
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
Dutchman's-Breeches,Dicentra cucullaria,$6.44,Mostly Shady,012099,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
"Ginger, Wild",Asarum canadense,$9.03,Mostly Shady,041899,3
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Hepatica,Hepatica americana,$4.45,Mostly Shady,012699,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Liverleaf,Hepatica americana,$3.99,Mostly Shady,010299,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Jack-In-The-Pulpit,Arisaema triphyllum,$3.23,Mostly Shady,020199,4
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
Mayapple,Podophyllum peltatum,$2.98,Mostly Shady,060599,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Woodland",Phlox divaricata,$2.80,Sun or Shade,012299,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
"Phlox, Blue",Phlox divaricata,$5.59,Sun or Shade,021699,3
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Spring-Beauty,Claytonia Virginica,$6.59,Mostly Shady,020199,7
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Trillium,Trillium grandiflorum,$3.90,Sun or Shade,042999,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
Wake Robin,Trillium grandiflorum,$3.20,Sun or Shade,022199,5
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
"Violet, Dog-Tooth",Erythronium americanum,$9.04,Shade,020199,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Trout Lily,Erythronium americanum,$6.94,Shade,032499,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Adder's-Tongue,Erythronium americanum,$9.58,Shade,041399,4
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Anemone,Anemone blanda,$8.86,Mostly Shady,122698,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Grecian Windflower,Anemone blanda,$9.16,Mostly Shady,071099,6
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bee Balm,Monarda didyma,$4.59,Shade,050399,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Bergamot,Monarda didyma,$7.16,Shade,042799,4
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Black-Eyed Susan,Rudbeckia hirta,$9.80,Sunny,061899,Annual
Buttercup,Ranunculus,$2.57,Shade,061099,4
Buttercup,Ranunculus,$2.57,Shade,061099,4
Buttercup,Ranunculus,$2.57,Shade,061099,4
Buttercup,Ranunculus,$2.57,Shade,061099,4
Buttercup,Ranunculus,$2.57,Shade,061099,4
Buttercup,Ranunculus,$2.57,Shade,061099,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Crowfoot,Ranunculus,$9.34,Shade,040399,4
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Butterfly Weed,Asclepias tuberosa,$2.78,Sunny,063099,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Cinquefoil,Potentilla,$7.06,Shade,052599,Annual
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Primrose,Oenothera,$6.56,Sunny,013099,3 - 5
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Gentian,Gentiana,$7.81,Sun or Shade,051899,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Blue Gentian,Gentiana,$8.56,Sun or Shade,050299,4
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Jacob's Ladder,Polemonium caeruleum,$9.26,Shade,022199,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
Greek Valerian,Polemonium caeruleum,$4.36,Shade,071499,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
California Poppy,Eschscholzia californica,$7.89,Sun,032799,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Shooting Star,Dodecatheon,$8.60,Mostly Shady,051399,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Snakeroot,Cimicifuga,$5.63,Shade,071199,Annual
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
Cardinal Flower,Lobelia cardinalis,$3.02,Shade,022299,2
